student_id,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status
1,9.06,,9.06,Stable,18,17,18,17,94.44,9.06,17,65.29,Low,2025-07-28,1,On Time,0,0,0,1,0,0,Excellent,No
2,6.71,,6.71,Stable,18,16,18,16,88.89,6.71,16,60.06,Medium,2025-07-28,1,On Time,0,1,1,1,1,1,Average,No
3,7.12,,7.12,Stable,20,17,20,17,85.0,7.12,17,92.84,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No
4,4.7,,4.7,Stable,18,14,18,14,77.78,4.7,14,86.59,High,2025-08-06,10,Very Late,0,0,0,1,3,0,Below Average,Yes
5,3.64,,3.64,Stable,24,12,24,12,50.0,3.64,12,83.75,High,2025-07-28,1,On Time,0,0,0,1,3,2,Poor,Yes
6,6.78,,6.78,Stable,20,17,20,17,85.0,6.78,17,60.64,Medium,2025-07-27,0,On Time,0,0,0,1,1,0,Average,No
7,7.85,,7.85,Declining,18,15,18,15,83.33,7.85,15,74.09,Low,2025-07-28,1,On Time,0,1,1,1,0,0,Good,No
8,4.81,,4.81,Stable,18,11,18,11,61.11,4.81,11,71.0,High,2025-07-27,0,On Time,0,0,0,1,4,2,Below Average,Yes
9,7.18,,7.18,Stable,20,17,20,17,85.0,7.18,17,68.06,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No
10,7.04,,7.04,Stable,24,20,24,20,83.33,7.04,20,93.89,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No
11,6.82,,6.82,Stable,18,17,18,17,94.44,6.82,17,91.06,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No
12,4.4,,4.4,Stable,20,16,20,16,80.0,4.4,16,62.89,High,2025-07-28,1,On Time,0,0,0,1,1,1,Below Average,Yes
13,6.68,,6.68,Stable,24,21,24,21,87.5,6.68,21,93.29,Medium,2025-07-27,0,On Time,0,0,0,1,2,0,Average,No
14,6.45,,6.45,Stable,22,20,22,20,90.91,6.45,20,72.28,Medium,2025-07-27,0,On Time,0,0,0,1,1,1,Average,No
15,7.5,,7.5,Stable,22,17,22,17,77.27,7.5,17,69.85,Low,2025-08-11,15,Very Late,0,0,0,1,0,0,Good,No
16,6.54,,6.54,Declining,22,19,22,19,86.36,6.54,19,77.94,Medium,2025-07-27,0,On Time,0,0,0,1,2,1,Average,No
17,5.25,,5.25,Declining,24,17,24,17,70.83,5.25,17,86.67,Medium,2025-07-27,0,On Time,0,0,0,1,1,0,Below Average,No
18,6.45,,6.45,Stable,20,17,20,17,85.0,6.45,17,91.53,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No
19,4.85,,4.85,Stable,22,16,22,16,72.73,4.85,16,75.36,High,2025-07-29,2,On Time,0,0,0,1,2,0,Below Average,Yes
20,9.1,,9.1,Improving,24,23,24,23,95.83,9.1,23,64.29,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Excellent,No
21,6.13,,6.13,Stable,24,22,24,22,91.67,6.13,22,72.17,Medium,2025-07-27,0,On Time,0,0,0,1,1,1,Average,No
22,7.41,,7.41,Stable,18,14,18,14,77.78,7.41,14,66.45,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No
23,7.8,,7.8,Declining,18,14,18,14,77.78,7.8,14,84.15,Low,2025-08-03,7,Late,0,0,0,1,0,0,Good,No
24,5.74,,5.74,Declining,24,18,24,18,75.0,5.74,18,84.35,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No
25,9.47,,9.47,Stable,20,19,20,19,95.0,9.47,19,77.21,Low,2025-08-11,15,Very Late,0,0,0,1,0,0,Excellent,No
26,6.49,,6.49,Declining,22,19,22,19,86.36,6.49,19,81.16,Medium,2025-07-28,1,On Time,0,0,0,1,2,2,Average,No
27,4.69,,4.69,Stable,22,14,22,14,63.64,4.69,14,81.42,High,2025-07-27,0,On Time,0,0,0,1,1,1,Below Average,Yes
28,7.66,,7.66,Stable,20,18,20,18,90.0,7.66,18,64.91,Low,2025-07-27,0,On Time,0,0,0,1,1,1,Good,No
29,5.06,,5.06,Improving,20,16,20,16,80.0,5.06,16,72.02,Medium,2025-07-27,0,On Time,0,1,1,1,0,0,Below Average,No
30,5.25,,5.25,Improving,22,17,22,17,77.27,5.25,17,89.4,Medium,2025-08-03,7,Late,0,1,1,1,0,0,Below Average,No
