student_id,report_date,behavior_type,behavior,description,reported_by,severity
247,2025-11-13,Negative,Distracted in Class,Not paying attention,Ms. Amit Kapoor,Medium
247,2025-09-07,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Amit Kapoor,Positive
247,2025-09-07,Positive,Helpful to Peers,Assists other students,Ms. Amit Kapoor,Positive
261,2025-10-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Meera Patel,Positive
261,2025-09-24,Positive,Punctual,Always on time for classes,Ms. Meera Patel,Positive
734,2025-09-03,Positive,Punctual,Always on time for classes,Dr. Suresh Ahmed,Positive
418,2025-09-11,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,High
418,2025-09-23,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Alok Nair,Positive
418,2025-09-12,Positive,Helpful to Peers,Assists other students,Prof. Alok Nair,Positive
800,2025-11-09,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Manoj Bhatia,Positive
800,2025-10-31,Negative,Irregular Attendance,Missing classes without notice,Ms. Manoj Bhatia,Low
800,2025-09-22,Positive,Punctual,Always on time for classes,Ms. Manoj Bhatia,Positive
548,2025-09-16,Negative,Late to Class,Frequently arrives late,Mr. Rajesh Mukherjee,Low
548,2025-10-23,Positive,Punctual,Always on time for classes,Mr. Rajesh Mukherjee,Positive
239,2025-11-30,Positive,Punctual,Always on time for classes,Ms. Amit Kapoor,Positive
73,2025-09-05,Negative,Distracted in Class,Not paying attention,Prof. Nisha Gupta,Low
73,2025-10-01,Positive,Helpful to Peers,Assists other students,Prof. Nisha Gupta,Positive
73,2025-10-17,Positive,Excellent Participation,Always participates actively in class,Prof. Nisha Gupta,Positive
744,2025-09-27,Negative,Distracted in Class,Not paying attention,Dr. Suresh Ahmed,Low
744,2025-11-20,Positive,Excellent Participation,Always participates actively in class,Dr. Suresh Ahmed,Positive
744,2025-11-06,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
20,2025-10-13,Negative,Irregular Attendance,Missing classes without notice,Mr. Vinod Khanna,High
20,2025-11-28,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,High
20,2025-11-16,Positive,Punctual,Always on time for classes,Mr. Vinod Khanna,Positive
312,2025-09-13,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Amit Sinha,Positive
755,2025-11-16,Positive,Good Team Player,Works well in groups,Ms. Anita Shah,Positive
755,2025-11-29,Positive,Excellent Participation,Always participates actively in class,Ms. Anita Shah,Positive
215,2025-11-01,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Amit Kapoor,Positive
215,2025-10-30,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Amit Kapoor,Positive
495,2025-09-06,Positive,Helpful to Peers,Assists other students,Mr. Sonal Nair,Positive
495,2025-10-04,Negative,Late to Class,Frequently arrives late,Mr. Sonal Nair,Low
268,2025-11-29,Positive,Good Team Player,Works well in groups,Ms. Meera Patel,Positive
268,2025-10-06,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Meera Patel,Positive
268,2025-10-03,Negative,Late to Class,Frequently arrives late,Ms. Meera Patel,Medium
645,2025-10-20,Negative,Irregular Attendance,Missing classes without notice,Mr. Ashok Shah,Low
305,2025-10-20,Positive,Good Team Player,Works well in groups,Ms. Meera Patel,Positive
821,2025-09-19,Negative,Distracted in Class,Not paying attention,Ms. Manoj Bhatia,High
821,2025-09-26,Negative,Irregular Attendance,Missing classes without notice,Ms. Manoj Bhatia,Medium
821,2025-11-29,Negative,Irregular Attendance,Missing classes without notice,Ms. Manoj Bhatia,Medium
474,2025-09-23,Negative,Late to Class,Frequently arrives late,Mr. Preeti Shah,Low
474,2025-11-23,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
474,2025-10-08,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
194,2025-11-09,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Rajesh Ali,Positive
194,2025-09-08,Positive,Excellent Participation,Always participates actively in class,Ms. Rajesh Ali,Positive
194,2025-09-12,Positive,Helpful to Peers,Assists other students,Ms. Rajesh Ali,Positive
801,2025-10-22,Positive,Punctual,Always on time for classes,Ms. Manoj Bhatia,Positive
726,2025-10-09,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
726,2025-09-02,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Suresh Ahmed,Positive
313,2025-10-18,Positive,Excellent Participation,Always participates actively in class,Dr. Amit Sinha,Positive
860,2025-09-28,Negative,Irregular Attendance,Missing classes without notice,Ms. Alok Arora,Medium
860,2025-10-24,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Alok Arora,Positive
512,2025-11-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Sonal Nair,Positive
512,2025-11-15,Positive,Excellent Participation,Always participates actively in class,Mr. Sonal Nair,Positive
512,2025-10-23,Positive,Good Team Player,Works well in groups,Mr. Sonal Nair,Positive
574,2025-09-20,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Sunita Saxena,Positive
574,2025-10-21,Positive,Helpful to Peers,Assists other students,Dr. Sunita Saxena,Positive
574,2025-10-09,Positive,Punctual,Always on time for classes,Dr. Sunita Saxena,Positive
380,2025-10-16,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Preeti Joshi,Positive
380,2025-11-29,Negative,Late to Class,Frequently arrives late,Dr. Preeti Joshi,Low
380,2025-10-03,Positive,Good Team Player,Works well in groups,Dr. Preeti Joshi,Positive
379,2025-09-06,Positive,Helpful to Peers,Assists other students,Dr. Preeti Joshi,Positive
99,2025-09-03,Negative,Distracted in Class,Not paying attention,Prof. Nisha Gupta,Low
175,2025-11-02,Negative,Irregular Attendance,Missing classes without notice,Ms. Rajesh Ali,Low
175,2025-09-27,Positive,Excellent Participation,Always participates actively in class,Ms. Rajesh Ali,Positive
410,2025-11-01,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,High
410,2025-09-20,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,High
410,2025-09-19,Negative,Irregular Attendance,Missing classes without notice,Prof. Alok Nair,Low
78,2025-09-23,Positive,Good Team Player,Works well in groups,Prof. Nisha Gupta,Positive
78,2025-10-25,Negative,Irregular Attendance,Missing classes without notice,Prof. Nisha Gupta,Medium
611,2025-10-05,Positive,Good Team Player,Works well in groups,Prof. Ramesh Choudhury,Positive
611,2025-09-17,Positive,Good Team Player,Works well in groups,Prof. Ramesh Choudhury,Positive
611,2025-10-04,Negative,Irregular Attendance,Missing classes without notice,Prof. Ramesh Choudhury,Low
501,2025-10-28,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Sonal Nair,Positive
501,2025-09-12,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Sonal Nair,Positive
386,2025-11-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Preeti Joshi,Positive
446,2025-09-16,Positive,Punctual,Always on time for classes,Mr. Preeti Shah,Positive
446,2025-11-05,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Preeti Shah,Positive
446,2025-09-13,Negative,Distracted in Class,Not paying attention,Mr. Preeti Shah,Medium
33,2025-10-15,Positive,Excellent Participation,Always participates actively in class,Mr. Vinod Khanna,Positive
33,2025-11-17,Negative,Distracted in Class,Not paying attention,Mr. Vinod Khanna,Low
33,2025-10-24,Positive,Excellent Participation,Always participates actively in class,Mr. Vinod Khanna,Positive
302,2025-10-24,Negative,Distracted in Class,Not paying attention,Ms. Meera Patel,High
302,2025-10-04,Negative,Distracted in Class,Not paying attention,Ms. Meera Patel,High
302,2025-11-16,Positive,Excellent Participation,Always participates actively in class,Ms. Meera Patel,Positive
693,2025-11-03,Positive,Punctual,Always on time for classes,Prof. Priya Arora,Positive
693,2025-11-12,Negative,Irregular Attendance,Missing classes without notice,Prof. Priya Arora,High
693,2025-11-25,Positive,Good Team Player,Works well in groups,Prof. Priya Arora,Positive
153,2025-10-13,Positive,Punctual,Always on time for classes,Prof. Naveen Verma,Positive
153,2025-10-06,Negative,Distracted in Class,Not paying attention,Prof. Naveen Verma,High
764,2025-10-25,Positive,Good Team Player,Works well in groups,Ms. Anita Shah,Positive
764,2025-10-18,Positive,Helpful to Peers,Assists other students,Ms. Anita Shah,Positive
764,2025-10-15,Positive,Good Team Player,Works well in groups,Ms. Anita Shah,Positive
14,2025-11-18,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,Medium
144,2025-11-18,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Naveen Verma,Positive
465,2025-11-04,Positive,Excellent Participation,Always participates actively in class,Mr. Preeti Shah,Positive
465,2025-11-24,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
