student_id,visit_date,activity,book_title,duration_hours,checkout_date,return_date
257,2025-10-21,Reading Session,,1.0,,
257,2025-11-11,Book Borrowed,Operating Systems,,2025-11-11,
257,2025-10-04,Book Borrowed,Data Structures and Algorithms,,2025-10-04,
257,2025-11-08,Book Returned,Operating Systems,,,2025-11-23
257,2025-10-02,Book Borrowed,Computer Networks,,2025-10-02,
257,2025-11-27,Book Returned,Chemistry Fundamentals,,,2025-12-10
257,2025-10-19,Book Borrowed,Introduction to Algorithms,,2025-10-19,
257,2025-09-09,Reading Session,,2.0,,
257,2025-11-07,Book Borrowed,Control Systems,,2025-11-07,
257,2025-10-11,Book Returned,Machine Learning,,,2025-10-28
257,2025-11-28,Reading Session,,1.0,,
257,2025-10-07,Book Borrowed,Control Systems,,2025-10-07,
257,2025-08-27,Book Borrowed,Advanced Mathematics,,2025-08-27,
257,2025-11-11,Reading Session,,2.0,,
257,2025-09-09,Reading Session,,2.0,,
257,2025-10-13,Book Returned,Artificial Intelligence,,,2025-10-26
342,2025-09-04,Book Returned,Software Engineering,,,2025-09-12
342,2025-09-18,Book Returned,Database Management Systems,,,2025-10-08
342,2025-08-26,Reading Session,,3.0,,
342,2025-10-12,Reading Session,,2.0,,
342,2025-11-16,Book Borrowed,Chemistry Fundamentals,,2025-11-16,
342,2025-10-23,Reading Session,,2.0,,
342,2025-11-23,Book Borrowed,Chemistry Fundamentals,,2025-11-23,
738,2025-11-22,Book Returned,Control Systems,,,2025-12-03
738,2025-10-28,Book Returned,Data Structures and Algorithms,,,2025-11-14
738,2025-11-26,Book Borrowed,Digital Electronics,,2025-11-26,
738,2025-11-23,Book Returned,Data Structures and Algorithms,,,2025-12-14
738,2025-10-06,Book Borrowed,Physics Vol 1,,2025-10-06,
738,2025-11-30,Reading Session,,1.0,,
738,2025-11-11,Reading Session,,2.0,,
738,2025-09-28,Book Returned,Chemistry Fundamentals,,,2025-10-11
738,2025-11-15,Reading Session,,1.0,,
738,2025-10-26,Book Borrowed,Introduction to Algorithms,,2025-10-26,
738,2025-11-08,Book Returned,Operating Systems,,,2025-11-15
738,2025-09-06,Reading Session,,1.0,,
738,2025-10-31,Book Borrowed,Advanced Mathematics,,2025-10-31,
738,2025-11-16,Book Returned,Advanced Mathematics,,,2025-11-29
738,2025-11-24,Reading Session,,1.0,,
738,2025-10-08,Reading Session,,2.0,,
430,2025-09-13,Reading Session,,4.0,,
