student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
4,Innovation Club,Academic,2025-08-29,Member,Low,3,2,,Active,Mr. Vinod Khanna
4,Cricket Team,Sports,2025-08-28,Member,Low,1,1,,Active,Mr. Vinod Khanna
5,Robotics Club,Technical,2025-08-30,Core Team,High,8,7,,Active,Mr. Vinod Khanna
5,Mathematics Club,Academic,2025-08-11,Active Member,Medium,4,5,,Active,Mr. Vinod Khanna
5,Cricket Team,Sports,2025-08-21,President/Head,Very High,11,11,,Inactive,Mr. Vinod Khanna
7,Event Management Team,Other,2025-08-24,Active Member,High,8,7,Participation Certificate,Active,Mr. Vinod Khanna
8,NSS,Social,2025-08-25,Active Member,Medium,5,4,Best Performer Award,Active,Mr. Vinod Khanna
8,Quiz Club,Academic,2025-08-08,Coordinator,Very High,14,18,,Active,Mr. Vinod Khanna
8,Dance Club,Cultural,2025-08-25,Core Team,High,9,7,,Active,Mr. Vinod Khanna
9,Basketball Team,Sports,2025-08-03,Member,Low,3,1,,Inactive,Mr. Vinod Khanna
10,Football Team,Sports,2025-08-27,Member,Medium,6,2,,Inactive,Mr. Vinod Khanna
10,Rotaract Club,Social,2025-08-20,Member,Low,3,0,,Active,Mr. Vinod Khanna
10,Dance Club,Cultural,2025-08-04,Active Member,High,9,7,,Active,Mr. Vinod Khanna
11,Web Development Club,Technical,2025-08-09,Member,Medium,6,5,,Active,Mr. Vinod Khanna
12,Football Team,Sports,2025-08-24,Member,High,7,10,Winner - Intra College Competition,Active,Mr. Vinod Khanna
12,Rotaract Club,Social,2025-08-10,Coordinator,Very High,13,15,,Active,Mr. Vinod Khanna
14,Dance Club,Cultural,2025-08-15,Member,High,10,8,,Active,Mr. Vinod Khanna
14,Basketball Team,Sports,2025-08-30,Member,Medium,6,5,,Active,Mr. Vinod Khanna
14,Quiz Club,Academic,2025-08-18,Core Team,High,7,10,,Active,Mr. Vinod Khanna
16,Photography Club,Cultural,2025-08-24,Active Member,High,6,10,,Inactive,Mr. Vinod Khanna
21,Photography Club,Cultural,2025-08-07,Active Member,High,6,7,,Active,Mr. Vinod Khanna
21,Student Council,Other,2025-08-24,Member,Medium,4,3,Winner - Inter College Competition,Active,Mr. Vinod Khanna
23,Mathematics Club,Academic,2025-08-26,Active Member,High,9,6,,Active,Mr. Vinod Khanna
23,Rotaract Club,Social,2025-08-21,Member,High,8,5,,Active,Mr. Vinod Khanna
23,Dance Club,Cultural,2025-08-06,Active Member,Medium,4,2,,Active,Mr. Vinod Khanna
24,Music Club,Cultural,2025-08-02,Coordinator,Very High,15,11,,Active,Mr. Vinod Khanna
24,Web Development Club,Technical,2025-08-13,Member,Medium,4,3,,Active,Mr. Vinod Khanna
25,Student Council,Other,2025-08-07,Member,High,7,7,,Inactive,Mr. Vinod Khanna
25,AI/ML Club,Technical,2025-08-11,Active Member,Medium,3,2,,Inactive,Mr. Vinod Khanna
25,Drama Club,Cultural,2025-08-25,Member,High,7,10,Participation Certificate,Active,Mr. Vinod Khanna
25,Environmental Club,Social,2025-08-22,Member,Medium,5,3,,Active,Mr. Vinod Khanna
28,Football Team,Sports,2025-08-22,Active Member,Medium,5,3,,Inactive,Mr. Vinod Khanna
28,Dance Club,Cultural,2025-08-12,Active Member,Medium,5,5,,Active,Mr. Vinod Khanna
28,Innovation Club,Academic,2025-08-30,Core Team,Very High,10,19,,Active,Mr. Vinod Khanna
31,Event Management Team,Other,2025-08-04,Coordinator,Very High,10,15,,Active,Mr. Vinod Khanna
31,Basketball Team,Sports,2025-08-25,President/Head,Very High,11,20,,Active,Mr. Vinod Khanna
32,Dance Club,Cultural,2025-08-16,Member,Low,1,2,,Active,Mr. Vinod Khanna
32,Cricket Team,Sports,2025-08-25,Core Team,Very High,10,20,,Active,Mr. Vinod Khanna
33,Photography Club,Cultural,2025-08-31,Member,Low,3,1,,Active,Mr. Vinod Khanna
33,Quiz Club,Academic,2025-08-31,Member,Medium,3,2,Best Performer Award,Inactive,Mr. Vinod Khanna
33,College Magazine,Other,2025-08-27,Member,Low,3,0,,Active,Mr. Vinod Khanna
34,Basketball Team,Sports,2025-08-06,Member,Low,3,0,,Inactive,Mr. Vinod Khanna
36,Environmental Club,Social,2025-08-03,Coordinator,Very High,11,13,,Active,Mr. Vinod Khanna
36,Web Development Club,Technical,2025-08-08,Core Team,High,7,10,,Active,Mr. Vinod Khanna
39,Innovation Club,Academic,2025-08-12,Member,High,9,6,,Active,Mr. Vinod Khanna
40,Coding Club,Technical,2025-08-24,Member,Low,1,1,,Active,Mr. Vinod Khanna
41,Rotaract Club,Social,2025-08-17,Member,Low,3,1,,Active,Mr. Vinod Khanna
43,NCC,Social,2025-08-25,Member,Low,1,1,,Active,Mr. Vinod Khanna
43,Event Management Team,Other,2025-08-18,Member,Low,3,0,Winner - Intra College Competition,Active,Mr. Vinod Khanna
43,Basketball Team,Sports,2025-08-07,Member,Low,2,1,,Inactive,Mr. Vinod Khanna
44,Dance Club,Cultural,2025-08-22,President/Head,Very High,10,11,,Active,Mr. Vinod Khanna
44,Badminton Club,Sports,2025-08-28,Member,Medium,6,2,,Active,Mr. Vinod Khanna
45,Event Management Team,Other,2025-08-19,Member,Medium,6,4,,Active,Mr. Vinod Khanna
49,Quiz Club,Academic,2025-08-16,Member,Low,1,0,,Active,Mr. Vinod Khanna
49,Music Club,Cultural,2025-08-10,Core Team,High,7,9,,Active,Mr. Vinod Khanna
50,Music Club,Cultural,2025-08-12,Member,Low,1,2,,Active,Mr. Vinod Khanna
50,NSS,Social,2025-08-05,Member,Low,2,2,Participation Certificate,Inactive,Mr. Vinod Khanna
51,Student Council,Other,2025-08-04,Coordinator,Very High,10,18,,Active,Mr. Vinod Khanna
51,Football Team,Sports,2025-08-26,Member,Medium,4,2,,Active,Mr. Vinod Khanna
51,Quiz Club,Academic,2025-08-25,Member,Medium,3,2,,Active,Mr. Vinod Khanna
52,Innovation Club,Academic,2025-08-17,Member,Low,1,1,,Active,Mr. Vinod Khanna
52,Robotics Club,Technical,2025-08-29,Member,Medium,6,5,,Active,Mr. Vinod Khanna
53,Cricket Team,Sports,2025-08-20,Member,Low,1,1,Certificate of Excellence,Active,Mr. Vinod Khanna
53,Music Club,Cultural,2025-08-12,Member,Low,2,0,,Active,Mr. Vinod Khanna
55,Innovation Club,Academic,2025-08-20,Active Member,Medium,3,5,,Active,Mr. Vinod Khanna
55,Event Management Team,Other,2025-08-31,Active Member,Medium,4,3,,Active,Mr. Vinod Khanna
55,Web Development Club,Technical,2025-08-13,Member,Medium,4,4,Winner - Inter College Competition,Active,Mr. Vinod Khanna
