student_id,activity_name,session_date,session_type,session_time,duration_hours,attendance_status,marked_by
4,Innovation Club,2025-08-22,Practice Session,18:00:00,2.5,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-08-18,Competition,18:00:00,1.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-08-04,Regular Meeting,15:00:00,2.5,Present,Mr. Vinod Khanna
4,Innovation Club,2025-08-31,Training,17:00:00,3.0,Present,Mr. Vinod Khanna
4,Innovation Club,2025-08-31,Project Work,18:00:00,1.5,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-09-30,Event,18:00:00,2.5,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-09-16,Training,18:00:00,1.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-09-24,Training,18:00:00,2.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-10-09,Regular Meeting,15:00:00,3.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-10-02,Regular Meeting,17:00:00,2.0,Present,Mr. Vinod Khanna
4,Innovation Club,2025-10-03,Event,15:00:00,4.0,Present,Mr. Vinod Khanna
4,Innovation Club,2025-10-18,Competition,18:00:00,1.5,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-11-17,Project Work,16:00:00,4.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-11-27,Event,16:00:00,2.5,Present,Mr. Vinod Khanna
4,Innovation Club,2025-11-17,Practice Session,14:00:00,2.0,Absent,Mr. Vinod Khanna
4,Innovation Club,2025-11-17,Event,15:00:00,3.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-26,Regular Meeting,17:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-15,Practice Session,15:00:00,4.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-09,Event,14:00:00,2.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-29,Training,14:00:00,3.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-04,Competition,14:00:00,2.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-04,Competition,15:00:00,2.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-30,Workshop,14:00:00,1.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-20,Training,14:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-26,Regular Meeting,16:00:00,4.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-04,Practice Session,14:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-27,Competition,14:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-20,Practice Session,18:00:00,1.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-08-22,Regular Meeting,17:00:00,3.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-08-19,Competition,16:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-30,Competition,14:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-19,Practice Session,17:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-26,Practice Session,16:00:00,3.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-11,Regular Meeting,17:00:00,2.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-09-17,Regular Meeting,14:00:00,4.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-28,Competition,15:00:00,3.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-08,Event,16:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-09-01,Event,14:00:00,1.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-09-23,Competition,15:00:00,1.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-09-02,Regular Meeting,16:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-28,Regular Meeting,14:00:00,1.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-07,Workshop,18:00:00,2.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-14,Regular Meeting,15:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-15,Workshop,16:00:00,2.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-16,Regular Meeting,16:00:00,3.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-28,Project Work,16:00:00,2.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-27,Event,15:00:00,2.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-10,Practice Session,18:00:00,1.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-07,Competition,17:00:00,4.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-09-30,Competition,16:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-19,Event,18:00:00,3.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-14,Workshop,18:00:00,1.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-29,Workshop,18:00:00,3.0,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-23,Regular Meeting,17:00:00,3.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-28,Project Work,15:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-01,Event,18:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-10-03,Regular Meeting,17:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-08,Practice Session,16:00:00,2.5,Present,Mr. Vinod Khanna
4,Cricket Team,2025-11-12,Event,14:00:00,2.0,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-11-11,Training,18:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-30,Project Work,15:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-11-18,Practice Session,18:00:00,1.5,Absent,Mr. Vinod Khanna
4,Cricket Team,2025-10-31,Training,16:00:00,2.5,Present,Mr. Vinod Khanna
